mkey,speckey,step,relationship,affiliation,begin_date,end_date,portion,position,attrib_type,attributor,attrib_date,attrib_source,certainty,attrib_comment,note,option1,option2,option3,option4,unlinked_value,prior_attribution,taxvarkey,type_specimen,taxonomy,broader_text
147250,1091172,,,,,,,,,"Edlund, S.A.",1985,,,,,,,,,,false,,false,Hedysarum alpinum,Plantae; Magnoliophyta; Magnoliopsida; Rosidae; Fabales; Fabaceae; Hedysarum
160455,1169507,,,,,,,,,"Dugal, A.W.",1988,,,,,,,,,,false,,false,Potentilla anserina,Plantae; Magnoliophyta; Magnoliopsida; Rosidae; Rosales; Rosaceae; Potentilla
168774,1091172,,,,,,,,,"Consaul, L.L.",1990,,,,,,,,,,false,,false,Hedysarum alpinum,Plantae; Magnoliophyta; Magnoliopsida; Rosidae; Fabales; Fabaceae; Hedysarum
167639,1085501,,,,,,,,,"Argus, G.W.",1989-07,,,,,,,,,,false,,false,Salix glauca,Plantae; Magnoliophyta; Magnoliopsida; Dilleniidae; Salicales; Salicaceae; Salix
228338,1153600,,,,,,,,,,,,,,,,,,,,false,,false,Campanularia verticillata,Animalia; Cnidaria; Hydrozoa; Hydroidolina; Leptothecatae; Campanulariidae; Campanularia
379601,1156166,,,,,,,,,,,,,,,,,,,,false,,false,Pisidium compressum,Animalia; Mollusca; Bivalvia; Heterodonta; Veneroida; Corbiculoidea; Sphaeriidae; Pisidium
376401,1156166,,,,,,,,,,,,,,,,,,,,false,,false,Pisidium compressum,Animalia; Mollusca; Bivalvia; Heterodonta; Veneroida; Corbiculoidea; Sphaeriidae; Pisidium
373557,1156166,,,,,,,,,"Herrington, Harry B.",,,,,,,,,,,false,,false,Pisidium compressum,Animalia; Mollusca; Bivalvia; Heterodonta; Veneroida; Corbiculoidea; Sphaeriidae; Pisidium
372578,1157968,,,,,,,,,"Clarke, Arthur H.",,,,,,,,,,,false,,false,Gyraulus parvus,Animalia; Mollusca; Gastropoda; Pulmonata; Basommatophora; Planorbioidea; Planorbidae; Gyraulus
372580,1157968,,,,,,,,,"Clarke, Arthur H.",,,,,,,,,,,false,,false,Gyraulus parvus,Animalia; Mollusca; Gastropoda; Pulmonata; Basommatophora; Planorbioidea; Planorbidae; Gyraulus
386702,1160261,,,,,,,,,,,,,,,,,,,,false,,false,Valvata tricarinata,Animalia; Mollusca; Gastropoda; Orthogastropoda; Mesogastropoda; Valvatoidea; Valvatidae; Valvata
383277,1160261,,,,,,,,,,,,,,,,,,,,false,,false,Valvata tricarinata,Animalia; Mollusca; Gastropoda; Orthogastropoda; Mesogastropoda; Valvatoidea; Valvatidae; Valvata
388008,1160261,,,,,,,,,,,,,,,,,,,,false,,false,Valvata tricarinata,Animalia; Mollusca; Gastropoda; Orthogastropoda; Mesogastropoda; Valvatoidea; Valvatidae; Valvata
380811,1156166,,,,,,,,,"Herrington, Harry B.",,,,,,,,,,,false,,false,Pisidium compressum,Animalia; Mollusca; Bivalvia; Heterodonta; Veneroida; Corbiculoidea; Sphaeriidae; Pisidium
380200,1156166,,,,,,,,,"Herrington, Harry B.",,,,,,,,,,,false,,false,Pisidium compressum,Animalia; Mollusca; Bivalvia; Heterodonta; Veneroida; Corbiculoidea; Sphaeriidae; Pisidium
376728,1156166,,,,,,,,,,,,,,,,,,,,false,,false,Pisidium compressum,Animalia; Mollusca; Bivalvia; Heterodonta; Veneroida; Corbiculoidea; Sphaeriidae; Pisidium
379283,1156166,,,,,,,,,"Herrington, Harry B.",,,,,,,,,,,false,,false,Pisidium compressum,Animalia; Mollusca; Bivalvia; Heterodonta; Veneroida; Corbiculoidea; Sphaeriidae; Pisidium
382569,1156166,,,,,,,,,,,,,,,,,,,,false,,false,Pisidium compressum,Animalia; Mollusca; Bivalvia; Heterodonta; Veneroida; Corbiculoidea; Sphaeriidae; Pisidium
378904,1160261,,,,,,,,,,,,,,,,,,,,false,,false,Valvata tricarinata,Animalia; Mollusca; Gastropoda; Orthogastropoda; Mesogastropoda; Valvatoidea; Valvatidae; Valvata
381481,1160261,,,,,,,,,"Herrington, Harry B.",,,,,,,,,,,false,,false,Valvata tricarinata,Animalia; Mollusca; Gastropoda; Orthogastropoda; Mesogastropoda; Valvatoidea; Valvatidae; Valvata
385127,1160261,,,,,,,,,,,,,,,,,,,,false,,false,Valvata tricarinata,Animalia; Mollusca; Gastropoda; Orthogastropoda; Mesogastropoda; Valvatoidea; Valvatidae; Valvata
392351,1156166,,,,,,,,,"Mackie, G.L.",,,,,,,,,,,false,,false,Pisidium compressum,Animalia; Mollusca; Bivalvia; Heterodonta; Veneroida; Corbiculoidea; Sphaeriidae; Pisidium
389035,1160261,,,,,,,,,,,,,,,,,,,,false,,false,Valvata tricarinata,Animalia; Mollusca; Gastropoda; Orthogastropoda; Mesogastropoda; Valvatoidea; Valvatidae; Valvata
680095,1156173,,,,,,,,,"Herrington, Harry B.",,,,,,,,,,,false,,false,Pisidium lilljeborgi,Animalia; Mollusca; Bivalvia; Heterodonta; Veneroida; Corbiculoidea; Sphaeriidae; Pisidium
687219,1191919,,,PARATYPE,,,,,,,,,,,,,,,,,false,,true,Eucatops (Sphaerocatops) mexicanus,Animalia; Arthropoda; Insecta; Coleoptera; Polyphaga; Staphylinoidea; Leiodidae; Cholevinae; Eucatops; Eucatops (Sphaerocatops)
704818,1010616,,,associated species,,,,,,"Hong, W.",,,,,,,,,,,false,,false,Diplophyllum taxifolium,Plantae; Bryophyta; Hepaticae; Jungermanniidae; Jungermanniales; Jungermanniineae; Scapaniaceae; Diplophyllum
23800,1009823,,,,,,,,,"Ireland, R.R.",1975,,,,,,,,,,false,,false,Dicranum scoparium,Plantae; Bryophyta; Bryopsida; Bryidae; Dicranales; Dicranaceae; Dicranum
27936,1009911,,,,,,,,,"Ireland, R.R.",1990,,,,,,,,,,false,,false,Amphidium lapponicum,Plantae; Bryophyta; Bryopsida; Bryidae; Dicranales; Rhabdoweisiaceae; Amphidium
20221,1009480,,,,,,,,,"Ireland, R.R.",1986,,,,,,,,,,false,,false,Barbula convoluta,Plantae; Bryophyta; Bryopsida; Bryidae; Pottiales; Pottiaceae; Barbula
20045,1009911,,,,,,,,,,,,,,,,,,,,false,,false,Amphidium lapponicum,Plantae; Bryophyta; Bryopsida; Bryidae; Dicranales; Rhabdoweisiaceae; Amphidium
20052,1009911,,,,,,,,,,,,,,,,,,,,false,,false,Amphidium lapponicum,Plantae; Bryophyta; Bryopsida; Bryidae; Dicranales; Rhabdoweisiaceae; Amphidium
20115,1009480,,,,,,,,,"Ireland, R.R.",,,,,,,,,,,false,,false,Barbula convoluta,Plantae; Bryophyta; Bryopsida; Bryidae; Pottiales; Pottiaceae; Barbula
20004,1009480,,,,,,,,,"Ireland, R.R.",,,,,,,,,,,false,,false,Barbula convoluta,Plantae; Bryophyta; Bryopsida; Bryidae; Pottiales; Pottiaceae; Barbula
21690,1009911,,,,,,,,,"Ireland, R.R.",1985,,,,,,,,,,false,,false,Amphidium lapponicum,Plantae; Bryophyta; Bryopsida; Bryidae; Dicranales; Rhabdoweisiaceae; Amphidium
28552,1007699,,,,,,,,,"Ireland, R.R.",1981,,,,,,,,,,false,,false,Funaria hygrometrica,Plantae; Bryophyta; Bryopsida; Bryidae; Funariales; Funariaceae; Funaria
29231,1007462,,,,,,,,,"Ireland, R.R.",1990,,,,,,,,,,false,,false,Sphagnum fimbriatum,Plantae; Bryophyta; Sphagnopsida; Sphagnidae; Sphagnales; Sphagnaceae; Sphagnum
28527,1007699,,,,,,,,,,,,,,,,,,,,false,,false,Funaria hygrometrica,Plantae; Bryophyta; Bryopsida; Bryidae; Funariales; Funariaceae; Funaria
28501,1007699,,,,,,,,,"Ireland, R.R.",1985,,,,,,,,,,false,,false,Funaria hygrometrica,Plantae; Bryophyta; Bryopsida; Bryidae; Funariales; Funariaceae; Funaria
106950,1088324,,,,,,,,,,,,,,,,,,,,false,,false,Ribes lacustre,Plantae; Magnoliophyta; Magnoliopsida; Rosidae; Rosales; Saxifragaceae; Ribes
104001,1087232,,,,,,,,,,,,,,,,,,,,false,,false,Rhododendron groenlandicum,Plantae; Magnoliophyta; Magnoliopsida; Dilleniidae; Ericales; Ericaceae; Ledum
126993,1085501,,,,,,,,,"Argus, G.W.",1980,,,,,,,,,,false,,false,Salix glauca,Plantae; Magnoliophyta; Magnoliopsida; Dilleniidae; Salicales; Salicaceae; Salix
113958,1085501,,,,,,,,,"Argus, G.W.",,,,,,,,,,,false,,false,Salix glauca,Plantae; Magnoliophyta; Magnoliopsida; Dilleniidae; Salicales; Salicaceae; Salix
129584,1085501,,,,,,,,,"Argus, G.W.",1978,,,,,,,,,,false,,false,Salix glauca,Plantae; Magnoliophyta; Magnoliopsida; Dilleniidae; Salicales; Salicaceae; Salix
129626,1085501,,,,,,,,,"Argus, G.W.",1978,,,,,,,,,,false,,false,Salix glauca,Plantae; Magnoliophyta; Magnoliopsida; Dilleniidae; Salicales; Salicaceae; Salix
143400,1080105,,,,,,,,,"Hainault, R.",1980,,,,,,,,,,false,,false,Halerpestes cymbalaria,Plantae; Magnoliophyta; Magnoliopsida; Magnoliidae; Ranunculales; Ranunculaceae; Halerpestes
146586,1085501,,,,,,,,,,,,,,,,,,,,false,,false,Salix glauca,Plantae; Magnoliophyta; Magnoliopsida; Dilleniidae; Salicales; Salicaceae; Salix
144423,1080105,,,,,,,,,"Hainault, R.",1980,,,,,,,,,,false,,false,Halerpestes cymbalaria,Plantae; Magnoliophyta; Magnoliopsida; Magnoliidae; Ranunculales; Ranunculaceae; Halerpestes
140473,1085501,,,,,,,,,"Lee, P.",,,,,,,,,,,false,,false,Salix glauca,Plantae; Magnoliophyta; Magnoliopsida; Dilleniidae; Salicales; Salicaceae; Salix
140434,1091172,,,,,,,,,"MacIsaac, D.",,,,,,,,,,,false,,false,Hedysarum alpinum,Plantae; Magnoliophyta; Magnoliopsida; Rosidae; Fabales; Fabaceae; Hedysarum
156866,1085501,,,,,,,,,"Aiken, S.G.",1987,,,,,,,,,,false,,false,Salix glauca,Plantae; Magnoliophyta; Magnoliopsida; Dilleniidae; Salicales; Salicaceae; Salix
157819,1085501,,,,,,,,,"Aiken, S.G.",1987,,,,,,,,,,false,,false,Salix glauca,Plantae; Magnoliophyta; Magnoliopsida; Dilleniidae; Salicales; Salicaceae; Salix
235629,1118999,,,host,,,,,,,,,,,,,,,,,false,,false,Bos,Animalia; Chordata; Vertebrata; Mammalia; Artiodactyla; Bovidae
351201,1140145,,,,,,,,,"Jarzen, S.A. & Jarzen, D.M.",1989-08,,,,,,,,,,false,,false,Nyssa sylvatica,Plantae; Magnoliophyta; Magnoliopsida; Rosidae; Cornales; Nyssaceae; Nyssa
350340,1146993,,,,,,,,,"Jarzen, S.A. & Jarzen, D.M.",1989-08,,,,,,,,,,false,,false,Pinus contorta,Plantae; Coniferophyta; Coniferopsida; Coniferales; Pinaceae; Pinus
361118,1104039,,,,,,,,,,,,,,,,,,,,false,,false,Artemisia borealis,Plantae; Magnoliophyta; Magnoliopsida; Asteridae; Asterales; Asteraceae; Artemisia
351137,1146919,,,,,,,,,"Jarzen, S.A. & Jarzen, D.M.",1989-08,,,,,,,,,,false,,false,Juniperus virginiana,Plantae; Coniferophyta; Coniferopsida; Coniferales; Cupressaceae; Juniperus
369082,1157968,,,,,,,,,"Smith, Muriel F.I.",,,,,,,,,,,false,,false,Gyraulus parvus,Animalia; Mollusca; Gastropoda; Pulmonata; Basommatophora; Planorbioidea; Planorbidae; Gyraulus
379628,1157968,,,,,,,,,,,,,,,,,,,,false,,false,Gyraulus parvus,Animalia; Mollusca; Gastropoda; Pulmonata; Basommatophora; Planorbioidea; Planorbidae; Gyraulus
378972,1160261,,,,,,,,,,,,,,,,,,,,false,,false,Valvata tricarinata,Animalia; Mollusca; Gastropoda; Orthogastropoda; Mesogastropoda; Valvatoidea; Valvatidae; Valvata
373394,1156166,,,,,,,,,"Herrington, Harry B.",,,,,,,,,,,false,,false,Pisidium compressum,Animalia; Mollusca; Bivalvia; Heterodonta; Veneroida; Corbiculoidea; Sphaeriidae; Pisidium
379561,1156166,,,,,,,,,,,,,,,,,,,,false,,false,Pisidium compressum,Animalia; Mollusca; Bivalvia; Heterodonta; Veneroida; Corbiculoidea; Sphaeriidae; Pisidium
374981,1160261,,,,,,,,,,,,,,,,,,,,false,,false,Valvata tricarinata,Animalia; Mollusca; Gastropoda; Orthogastropoda; Mesogastropoda; Valvatoidea; Valvatidae; Valvata
373681,1156197,,,,,,,,,"Herrington, Harry B.",,,,,,,,,,,false,,false,Sphaerium striatinum,Animalia; Mollusca; Bivalvia; Heterodonta; Veneroida; Corbiculoidea; Sphaeriidae; Sphaerium
373506,1156166,,,,,,,,,"Herrington, Harry B.",,,,,,,,,,,false,,false,Pisidium compressum,Animalia; Mollusca; Bivalvia; Heterodonta; Veneroida; Corbiculoidea; Sphaeriidae; Pisidium
385270,1156197,,,,,,,,,"Herrington, Harry B.",,,,,,,,,,,false,,false,Sphaerium striatinum,Animalia; Mollusca; Bivalvia; Heterodonta; Veneroida; Corbiculoidea; Sphaeriidae; Sphaerium
382470,1156166,,,,,,,,,,,,,,,,,,,,false,,false,Pisidium compressum,Animalia; Mollusca; Bivalvia; Heterodonta; Veneroida; Corbiculoidea; Sphaeriidae; Pisidium
379836,1156166,,,,,,,,,"Herrington, Harry B.",,,,,,,,,,,false,,false,Pisidium compressum,Animalia; Mollusca; Bivalvia; Heterodonta; Veneroida; Corbiculoidea; Sphaeriidae; Pisidium
379838,1160261,,,,,,,,,"Herrington, Harry B.",,,,,,,,,,,false,,false,Valvata tricarinata,Animalia; Mollusca; Gastropoda; Orthogastropoda; Mesogastropoda; Valvatoidea; Valvatidae; Valvata
376670,1160261,,,,,,,,,,,,,,,,,,,,false,,false,Valvata tricarinata,Animalia; Mollusca; Gastropoda; Orthogastropoda; Mesogastropoda; Valvatoidea; Valvatidae; Valvata
380924,1156166,,,,,,,,,"Herrington, Harry B.",,,,,,,,,,,false,,false,Pisidium compressum,Animalia; Mollusca; Bivalvia; Heterodonta; Veneroida; Corbiculoidea; Sphaeriidae; Pisidium
384611,1160261,,,,,,,,,,,,,,,,,,,,false,,false,Valvata tricarinata,Animalia; Mollusca; Gastropoda; Orthogastropoda; Mesogastropoda; Valvatoidea; Valvatidae; Valvata
672082,1187827,,,ALLOTYPE,,,,,,,,,,,,,,,,,false,,true,Euphoria diminuta,Animalia; Arthropoda; Insecta; Coleoptera; Polyphaga; Scarabaeoidea; Scarabaeidae; Cetoniinae; Euphoria
693441,1167930,,,,,,,,,,,,,,,,,,,,false,,false,Merops pusillus,Animalia; Chordata; Vertebrata; Aves; Coraciiformes; Meropidae; Merops
25682,1007462,,,,,,,,,"Trucco , G.",,,,,,,,,,,false,,false,Sphagnum fimbriatum,Plantae; Bryophyta; Sphagnopsida; Sphagnidae; Sphagnales; Sphagnaceae; Sphagnum
20048,1009911,,,,,,,,,,,,,,,,,,,,false,,false,Amphidium lapponicum,Plantae; Bryophyta; Bryopsida; Bryidae; Dicranales; Rhabdoweisiaceae; Amphidium
28569,1007699,,,,,,,,,,,,,,,,,,,,false,,false,Funaria hygrometrica,Plantae; Bryophyta; Bryopsida; Bryidae; Funariales; Funariaceae; Funaria
28507,1007699,,,,,,,,,"Ireland, R.R.",1983,,,,,,,,,,false,,false,Funaria hygrometrica,Plantae; Bryophyta; Bryopsida; Bryidae; Funariales; Funariaceae; Funaria
28520,1007699,,,,,,,,,,,,,,,,,,,,false,,false,Funaria hygrometrica,Plantae; Bryophyta; Bryopsida; Bryidae; Funariales; Funariaceae; Funaria
28525,1007699,,,,,,,,,,,,,,,,,,,,false,,false,Funaria hygrometrica,Plantae; Bryophyta; Bryopsida; Bryidae; Funariales; Funariaceae; Funaria
68560,503200,,,,,,,,,P.Y. Wong,1984,,,,,,,,,,false,,false,Cladonia ramulosa,Chitinous Fungi; Ascomycota; Pezizomycotina; Lecanoromycetes; Lecanoromycetidae; Lecanorales; Lecanorineae; Cladoniaceae; Cladonia
653452,1183782,,,,,,,,,"Elven, Reidar",2009,,,,,,,,,,false,,false,Papaver hultenii,Plantae; Magnoliophyta; Magnoliopsida; Magnoliidae; Papaverales; Papaveraceae; Papaver
113626,1088309,,,,,,,,,,,,,,,,,,,,false,,false,Ribes hirtellum,Plantae; Magnoliophyta; Magnoliopsida; Rosidae; Rosales; Saxifragaceae; Ribes
105958,1169507,,,,,,,,,"Brown, H.H.; JKS",1954,,,,,,,,,,false,,false,Potentilla anserina,Plantae; Magnoliophyta; Magnoliopsida; Rosidae; Rosales; Rosaceae; Potentilla
118422,1088324,,,,,,,,,,,,,,,,,,,,false,,false,Ribes lacustre,Plantae; Magnoliophyta; Magnoliopsida; Rosidae; Rosales; Saxifragaceae; Ribes
130996,1088309,,,,,,,,,"Brunton, D.F.",,,,,,,,,,,false,,false,Ribes hirtellum,Plantae; Magnoliophyta; Magnoliopsida; Rosidae; Rosales; Saxifragaceae; Ribes
127559,1092620,,,,,,,,,"Hainault, R.",1979,,,,,,,,,,false,,false,Myriophyllum tenellum,Plantae; Magnoliophyta; Magnoliopsida; Rosidae; Haloragales; Haloragaceae; Myriophyllum
146583,1085501,,,,,,,,,,,,,,,,,,,,false,,false,Salix glauca,Plantae; Magnoliophyta; Magnoliopsida; Dilleniidae; Salicales; Salicaceae; Salix
142115,1088309,,,,,,,,,"Dugal, A.",,,,,,,,,,,false,,false,Ribes hirtellum,Plantae; Magnoliophyta; Magnoliopsida; Rosidae; Rosales; Saxifragaceae; Ribes
146413,1085501,,,,,,,,,,,,,,,,,,,,false,,false,Salix glauca,Plantae; Magnoliophyta; Magnoliopsida; Dilleniidae; Salicales; Salicaceae; Salix
146415,1085501,,,,,,,,,,,,,,,,,,,,false,,false,Salix glauca,Plantae; Magnoliophyta; Magnoliopsida; Dilleniidae; Salicales; Salicaceae; Salix
148752,1085501,,,,,,,,,"Argus, G.W.",1972,,,,,,,,,,false,,false,Salix glauca,Plantae; Magnoliophyta; Magnoliopsida; Dilleniidae; Salicales; Salicaceae; Salix
150048,1088309,,,,,,,,,"Dugal, A.W.",1986,,,,,,,,,,false,,false,Ribes hirtellum,Plantae; Magnoliophyta; Magnoliopsida; Rosidae; Rosales; Saxifragaceae; Ribes
147769,1091172,,,,,,,,,"Gillett, J.M.",1982,,,,,,,,,,false,,false,Hedysarum alpinum,Plantae; Magnoliophyta; Magnoliopsida; Rosidae; Fabales; Fabaceae; Hedysarum
168714,1091466,,,,,,,,,"Consaul, L.L.",1990,,,,,,,,,,false,,false,Lupinus arcticus,Plantae; Magnoliophyta; Magnoliopsida; Rosidae; Fabales; Fabaceae; Lupinus
169185,1088324,,,,,,,,,"Dugal, A.W.",1991,,,,,,,,,,false,,false,Ribes lacustre,Plantae; Magnoliophyta; Magnoliopsida; Rosidae; Rosales; Saxifragaceae; Ribes
375640,1156166,,,,,,,,,,,,,,,,,,,,false,,false,Pisidium compressum,Animalia; Mollusca; Bivalvia; Heterodonta; Veneroida; Corbiculoidea; Sphaeriidae; Pisidium
374680,1156166,,,,,,,,,,,,,,,,,,,,false,,false,Pisidium compressum,Animalia; Mollusca; Bivalvia; Heterodonta; Veneroida; Corbiculoidea; Sphaeriidae; Pisidium
374215,1157968,,,,,,,,,"Clarke, Arthur H.",,,,,,,,,,,false,,false,Gyraulus parvus,Animalia; Mollusca; Gastropoda; Pulmonata; Basommatophora; Planorbioidea; Planorbidae; Gyraulus
374988,1160261,,,,,,,,,"Oughton, J.G.",,,,,,,,,,,false,,false,Valvata tricarinata,Animalia; Mollusca; Gastropoda; Orthogastropoda; Mesogastropoda; Valvatoidea; Valvatidae; Valvata
373805,1156166,,,,,,,,,"Herrington, Harry B.",,,,,,,,,,,false,,false,Pisidium compressum,Animalia; Mollusca; Bivalvia; Heterodonta; Veneroida; Corbiculoidea; Sphaeriidae; Pisidium
373494,1156166,,,,,,,,,"Herrington, Harry B.",,,,,,,,,,,false,,false,Pisidium compressum,Animalia; Mollusca; Bivalvia; Heterodonta; Veneroida; Corbiculoidea; Sphaeriidae; Pisidium
386590,1160261,,,,,,,,,,,,,,,,,,,,false,,false,Valvata tricarinata,Animalia; Mollusca; Gastropoda; Orthogastropoda; Mesogastropoda; Valvatoidea; Valvatidae; Valvata
386695,1160261,,,,,,,,,,,,,,,,,,,,false,,false,Valvata tricarinata,Animalia; Mollusca; Gastropoda; Orthogastropoda; Mesogastropoda; Valvatoidea; Valvatidae; Valvata
388014,1160261,,,,,,,,,,,,,,,,,,,,false,,false,Valvata tricarinata,Animalia; Mollusca; Gastropoda; Orthogastropoda; Mesogastropoda; Valvatoidea; Valvatidae; Valvata
380316,1156197,,,,,,,,,"Herrington, Harry B.",,,,,,,,,,,false,,false,Sphaerium striatinum,Animalia; Mollusca; Bivalvia; Heterodonta; Veneroida; Corbiculoidea; Sphaeriidae; Sphaerium
381643,1156197,,,,,,,,,"Herrington, Harry B.",,,,,,,,,,,false,,false,Sphaerium striatinum,Animalia; Mollusca; Bivalvia; Heterodonta; Veneroida; Corbiculoidea; Sphaeriidae; Sphaerium
376726,1156197,,,,,,,,,,,,,,,,,,,,false,,false,Sphaerium striatinum,Animalia; Mollusca; Bivalvia; Heterodonta; Veneroida; Corbiculoidea; Sphaeriidae; Sphaerium
380596,1156166,,,,,,,,,"Herrington, Harry B.",,,,,,,,,,,false,,false,Pisidium compressum,Animalia; Mollusca; Bivalvia; Heterodonta; Veneroida; Corbiculoidea; Sphaeriidae; Pisidium
