mkey,date_collected
171380,(SUM 1912)
171390,1912
171397,1912-07
171402,1912
171403,1912
171511,1912-07
171610,1912
171657,1912
171658,1912
171659,1912
171660,1912
171661,1912
171662,1912
171663,1912
171664,1912
171665,1912
171666,1912
171667,1912
171668,1912
171669,1912
171670,1912
171671,1912
171673,1912
171674,1912
171675,1912
171676,1912
171677,1912
171678,1912
171679,1912
171680,1912
171681,1912
171682,1912
171683,1912
171684,1912
171685,1912
171686,1912
171687,1912
171688,1912
171689,1912
171690,1912
171691,1912
171692,1912
171693,1912
171694,1912
171700,1912
171707,(SUM 1913)
171708,(SUM 1913)
171709,(SUM 1913)
171774,1913-02
171782,1914
171803,(FAL 1913)
171804,(SPR 1913)
171870,(WIN 1913-1914)
171874,1914-07
171880,1914
171881,1914
171882,1914
171887,1914
171924,1887
171925,1896
171937,(Circa 1906)
171939,1915-07
171956,1915
171957,1915-08
171959,1915
171981,(SPR 1915)
171995,(WIN 1914-1915)
171998,(FAL 1914)
171999,(FAL 1914)
172000,(FAL 1914)
172001,1914-10
172002,(WIN 1914)
172003,(FAL 1914)
172004,(FAL 1914)
172005,1914
172006,1915
172007,1915
172012,(SUM 1914)
172037,(1902-1903)
172039,1907-02
172040,(SPR 1909-1910)
172041,(SUM 1901-1902)
172042,1896
172044,1903
172181,1915-11
172191,1915-09
172192,(SUM 1915)
172193,1915-08
172194,(SPR 1915)
172197,(SUM 1915)
172198,(SUM 1915)
172199,1915-11
172200,1915-11
172201,1915-11
172202,1915-11
172203,1915-11
172206,1916-03
172207,1916-10
172230,(SUM 1915)
172234,1915-11
172235,1915-11
172236,1915-11
172237,1915-11
172238,1915-11
172239,1915-11
172240,1915-11
172245,1914-12
172246,1914-12
172315,(FAL 1916)
172316,1916
172337,(WIN 1914-1915)
172358,1915-12
172359,1916-02
172371,1915-11
172372,1915-11
172394,(FAL 1914)
172413,1914-10
172414,1914-10
172416,(SPR 1916)
172417,1916-06
172418,(1915-1916)
172419,1915-09
172421,1915-11
172423,1915-07
172425,1916-07
172426,1916-09
172498,(WIN 1914-1915)
172499,(FAL 1914)
172500,(FAL 1914)
172501,(FAL 1913)
172502,(SUM 1915)
172503,(WIN 1914-1915)
172504,1916-05
172505,(SPR 1916)
172509,(FAL 1915)
172512,1916
172513,1916-12
172514,1916-12
172515,1917-02
172516,1917-02
172517,1916-11
172526,1916-03
172541,1917-06
172542,1917-06
172543,1917-06
172544,1917-06
172547,(1902-1904)
172548,(1902-1904)
172549,(1902-1904)
172550,(1902-1904)
172551,(1902-1904)
172552,(1902-1904)
172553,(1902-1904)
172554,(1902-1904)
172555,(1902-1904)
172556,(1902-1904)
172558,(1902-1904)
172559,(1902-1904)
172560,(1902-1904)
172561,(1902-1904)
172608,1917-06
172632,1917-07
172635,1917
172691,(1916-1917)
172724,1917
172729,(SPR 1915)
172730,(SUM 1915)
172731,(SUM 1915)
172732,(SUM 1915)
172849,1897-05
172850,1899-07
172851,(Before 1918)
172891,(1917-1918)
172892,(1917-1918)
172895,1918-05
172904,1918
172913,(Before 1919)
172915,1918-09
172917,1913-07
172919,(Before 1919)
172920,(SUM 1918)
172921,1917-10
172926,(1917-1918)
172927,(FAL 1917)
172929,(Before 1917)
172937,1916
173084,(WIN 1918-1919)
173085,(WIN 1918-1919)
173086,(WIN 1918-1919)
173090,1919-06
173135,(SUM 1919)
173136,(SUM 1919)
173137,(SUM 1919)
173140,(SUM 1919)
173141,(SUM 1919)
173142,(SUM 1919)
173143,(SUM 1919)
173145,(SPR 1917)
173146,(FAL 1917)
173147,(FAL 1917)
173148,(FAL 1917)
173149,(FAL 1917)
173162,1897
173173,1903
173174,1903
173289,1882-12
173290,1883-12
173305,1917-12
173319,(WIN 1916-1917)
173322,1916-10
173323,1916-10
173334,1914-05
173335,1914-05
173336,1914-05
173344,(SUM 1920)
173366,1920
173367,(SUM 1920)
173369,1920
173370,(?1920)
173371,(?1920)
173372,(SPR 1920)
173381,1920-12
173388,(WIN 1919-1920)
173389,(WIN 1919-1920)
173390,(WIN 1919-1920)
173391,(WIN 1919-1920)
173392,(WIN 1919-1920)
173394,1920
173397,(1916-1920)
173401,(1916-1920)
173402,(1916-1920)
173403,(1916-1920)
173404,(1916-1920)
173405,(1916-1920)
173433,(SPR 1920)
173434,(SPR 1920)
173435,(SPR 1920)
173436,(Before 1921)
173926,1909-05
173927,(WIN 1920)
173928,(WIN 1920)
173929,(WIN 1920)
173930,1920
173931,(FAL 1920)
173934,1921-10
173937,1921-11
173938,1921-12
173939,1921-12
173940,1921-12
173941,1921
173942,1921
173943,1921
173946,1921-11
173956,1921
173957,1921-11
173959,1921
173960,1921
173973,(SPR 1922)
174232,(SPR 1922)
174233,(SPR 1922)
174234,1922-10
174236,1922
174279,1922
174280,1922-09
174281,1921-10
174282,1922-04
174284,(Before 1923)
174287,1922-12
174288,1922-12
174289,1922-12
174290,1922-12
174291,1922-12
174292,1922-12
174293,1922-12
174294,1922-12
174295,1922-12
174297,1922
174298,1922
174299,1923-03
174302,1923
174303,1923
174304,(Before 1923)
174314,1923-01
174315,1923-02
174316,1923
174317,1923
174318,1923
174319,1923
174321,1923-01
174325,(SUM 1923)
174326,(WIN 1923)
174332,1922-12
174405,1923-09
174406,1923-09
174407,1923-09
174408,(WIN 1916-1917)
174411,1915-12
174592,1923-03
174593,1924-01
174594,1924-01
174597,(SPR 1922)
174598,(SPR 1922)
174599,(Circa 1906)
174600,(Circa 1906)
174641,1924
174642,1924
174643,1924
174644,1924
174646,1919-08
174647,1924-07
174945,(SPR 1924)
174946,(SPR 1924)
174947,(SPR 1924)
174948,(SPR 1924)
174949,(SPR 1924)
174958,1921
174966,(SUM 1924)
174967,(SUM 1924)
174968,(1923-1924)
174971,1923-03
174972,1923-03
174973,1925-02
174974,1924-11
174975,1924-11
174976,1924-11
174980,(Circa 1903)
174981,1923-12
174982,1923
174987,1924-12
174988,1924-12
174992,(WIN 1924)
174996,1916-08
175001,1925-05
175002,1925-05
175003,(SPR 1925)
175004,(SPR 1925)
175005,(SPR 1925)
175006,(SPR 1925)
175007,1912
175008,(Before 1900)
175009,1883
175010,(SUM 1921)
175020,1912
175021,1912
175022,1912
175023,1912
175024,1912
175025,1912
175026,1912
175027,1912
175088,1897
175094,1925
175106,1924
175107,1924
175108,1924
175109,1924-09
175110,1924-09
175111,1924-09
175112,1924-09
175113,1924-09
175114,1924-09
175115,1924-09
175116,1924
175117,1924
175138,1924
175139,1924
175140,1924
175143,1924
175144,1924
175148,1925
175149,1925
175156,1925
175157,(Before 1926)
175158,1925
175159,1925
175160,1925
175162,1925
175163,1925
175166,1925
175167,1925
175293,(Before 1914)
175294,(Circa 1914)
175295,(Circa 1914)
175296,(Before 1919)
175297,(Before 1919)
175298,(Before 1919)
175386,1924
175389,1925-11
175390,1925-11
175392,1925-01
175395,(WIN 1924-1925)
175396,(1924-1925)
175398,(WIN 1924-1925)
175399,(SUM 1924)
175400,(SUM 1924)
175404,(SUM 1925)
175412,1924-09
175415,1926-03
175419,(WIN 1924-1925)
175420,(WIN 1924-1925)
175421,(WIN 1924-1925)
175422,(WIN 1924-1925)
175424,1926-01
175425,1926-02
175426,1926-02
175427,1926-02
175428,1926-11
175429,1926-11
175430,1926-11
175431,1926-11
176140,1926-05
176156,(?1926)
176171,1921
176172,1926-11
176173,1926
176174,1925-08
178160,1927
178161,1927
178162,1927
178163,1927
178164,1927
178187,1926
178188,1926
178189,1926
178190,1926
178191,1926
178192,1926
178193,1926
178194,1926
178195,1926
178197,1927
178198,1927
178200,1927
178201,1927
178205,1927-06
178206,1927-06
178207,1926-07
178208,1927
178209,1927
178210,1927
178211,1927
178217,1926-12
178218,1926-12
178222,1925-12
178223,1925-12
178227,1926-02
178229,1926-03
178230,1926-03
178231,1926-03
178232,1926-03
178233,1926-03
178234,1926-03
178235,1926-03
178236,1926-03
178237,1926-04
178239,1926-03
178241,1926-04
178242,1926-04
178243,1925-04
178244,1926-08
178245,1926-05
178246,1926-07
178256,1927-11
178258,1927
178261,(1927-1928)
178262,(1927-1928)
178263,(1927-1928)
178264,(1927-1928)
178265,(1927-1928)
178266,1927-11
178267,1927-11
178268,1927-11
178269,1927-11
178270,1927-11
178271,1927-11
178272,1927-11
178786,1927-08
178901,1928
178902,1928
178903,1928
178904,1928
178913,1927
178914,1927-11
178915,(1927-1928)
178916,(1927-1928)
178917,1927
178918,(SUM 1927)
178919,1927-12
178921,(1927-1928)
178923,(1927-1928)
178930,(1927-1928)
178931,(1927-1928)
178932,(1927-1928)
178933,(1927-1928)
178934,(1925-1926)
178935,(1925-1926)
178936,1927-09
178937,1927-09
178938,1927-09
178940,1927-09
178941,(1925-1926)
178942,(1925-1926)
178956,1928
178958,1928
178960,1928-10
178961,1928-10
178962,1928-10
178979,(Before 1928)
178981,1898-08
178982,1898-08
178983,1905
178984,(Before 1928)
178985,1905
178986,1908-09
178987,(Before 1929)
178988,(FAL 1894)
178989,(Before 1928)
178990,(Before 1928)
178991,1926-07
178992,1926-07
179014,(1919-1920)
179016,(1919-1920)
179017,(1919-1920)
179018,1919
179019,1919
179020,1919
179191,1929-01
179192,1929-01
179193,(WIN 1928-1929)
179194,(WIN 1928-1929)
179195,(WIN 1928-1929)
179621,1929-01
179622,1929-08
179728,(WIN 1929)
179729,(WIN 1929)
179731,1929
179732,1929
179733,(SUM 1928)
179737,(FAL 1929)
179738,(FAL 1929)
179739,(FAL 1929)
179740,(FAL 1929)
179741,(FAL 1929)
179742,(FAL 1929)
179743,(FAL 1929)
179744,(FAL 1929)
179745,(FAL 1929)
179746,(FAL 1929)
179747,(FAL 1929)
179748,(FAL 1929)
179749,(FAL 1929)
179752,1929
179753,(1928-1929)
179754,(1928-1929)
179755,(1928-1929)
179756,(1928-1929)
179757,(1928-1929)
179758,(1928-1929)
179759,(1928-1929)
179760,(1928-1929)
179761,(1928-1929)
179762,1885
179796,1929-04
179797,1929-04
179817,1928
179818,1928
179822,1928-03
179824,(Circa 1944)
179825,(Before 1930)
179837,1919-07
179839,1928-07
179849,(Circa 1884-1885)
179852,(FAL 1929)
179853,(FAL 1929)
179855,1930
179856,1930
179858,1882-09
179861,1930-04
179862,1930-04
179863,1930-04
179864,1930-04
179865,1930-04
179866,1930-04
179867,(Circa 1900)
179868,(Before 1930)
179874,(1896-1906)
179877,1925
179991,1930-11
180068,(Before 1930)
180357,1930
180358,1930
180359,1930
180360,1930
180361,1930
180362,1930
180363,1930
180364,1930
180365,1930
180366,1930
180367,1930
180368,1930
180369,1930
180370,1930
180371,1930
180372,1930
180373,1930
180377,(1929-1930)
180378,(1929-1930)
180379,(1929-1930)
180380,(1929-1930)
180381,(1929-1930)
180382,(1929-1930)
180383,(1929-1930)
180384,(1929-1930)
180385,(1929-1930)
180386,(1929-1930)
180387,(1929-1930)
180388,(1929-1930)
180389,(1929-1930)
180390,(1929-1930)
180391,(1929-1930)
180392,(1929-1930)
180393,(1929-1930)
180394,(1929-1930)
180395,(1929-1930)
180396,(1929-1930)
180397,(1929-1930)
180398,(1929-1930)
180399,(1929-1930)
180400,(1929-1930)
180404,1930-03
180405,1930-03
180406,1930-03
180407,1930-03
180408,1930-03
180409,1930-03
180418,1930-03
180419,(SPR 1930)
180420,(SPR 1930)
180421,(SPR 1930)
180422,(SPR 1930)
180423,(1929-1930)
180424,(1929-1930)
180425,(1929-1930)
180428,1930
180429,1930
180430,1930
180431,1930
180432,1930
180433,1930
180434,1930
180445,1930
180447,1930
180449,1930
180458,(SUM 1929)
180459,1930-08
180460,1930-08
180461,1930
180462,1930
180463,1930
180464,(1929-1930)
180482,1930-04
180488,1930-04
180489,1930-04
180490,1930-04
180491,1930-04
180492,1930
180493,1930-02
180494,1930-02
180495,1930-02
180496,1930-02
180497,1930-01
180498,1929-12
180499,1929-12
180500,1929-12
180501,(1929-1930)
180502,(1929-1930)
180503,(1929-1930)
180504,(1929-1930)
180505,(1929-1930)
180506,(1929-1930)
180507,(1929-1930)
180508,(1929-1930)
180509,(1929-1930)
180510,(1929-1930)
180511,(1929-1930)
180512,(1929-1930)
180513,(1929-1930)
180514,(1929-1930)
180515,(1929-1930)
180516,(1929-1930)
180517,1930
180518,(1929-1930)
180519,(1929-1930)
180520,(1929-1930)
180521,(1929-1930)
180522,(1929-1930)
180523,(1929-1930)
180524,(1929-1930)
180525,(1929-1930)
180526,(1929-1930)
180527,(1929-1930)
180528,(1929-1930)
180529,(1929-1930)
180530,(1929-1930)
180531,(1929-1930)
180532,(1929-1930)
180533,(1929-1930)
180534,(1929-1930)
180535,(1929-1930)
180536,(1929-1930)
180537,(1929-1930)
180538,(1929-1930)
180539,(1929-1930)
180540,(1929-1930)
180541,(1929-1930)
180542,(1929-1930)
180543,(1929-1930)
180596,1930-12
180597,1930-12
180601,1930
180641,1930-11
180666,1930-12
180669,1931-01
180673,(WIN 1930-1931)
180674,(WIN 1930-1931)
180675,(WIN 1930-1931)
180676,(WIN 1930-1931)
180677,1931-03
180678,1931-03
180679,1931-03
180682,(WIN 1930-1931)
180683,(WIN 1930-1931)
180684,(1930-1931)
180686,(1930-1931)
180687,(1930-1931)
180688,(1930-1931)
180690,(WIN 1930-1931)
180708,(Before 1931)
180744,1931-07
180745,1931-08
180746,1931-09
180797,1931-09
180798,1931-09
180809,1931-10
180810,1931-10
180814,1931-04
180815,1931
180843,(SPR 1927)
180844,(SPR 1927)
180845,1922-06
180846,1922-06
180945,1932
180946,1932
180947,1931
180949,(FAL 1931)
180951,(WIN 1931-1932)
180958,(SPR 1932)
180984,1932-02
180985,1932-03
180986,(Before 1932)
180987,(Before 1932)
180992,1931-10
180993,1932-04
180994,1932
180995,1932
180996,1931-10
180997,1931-10
181050,1931
181052,1932
181093,1932
181094,1932
181095,1932
181096,1932
181097,1932
181098,1932
181099,1932
181100,1932
181101,1932
181102,1932
181103,1932
181104,1932
181105,1932
181106,1932
181107,(Before 1933)
181108,1932-10
181110,1930-02
181116,(SUM 1932)
181121,1932
181122,1932
181157,(FAL 1932)
181158,1933-01
181171,1933-02
181194,(WIN 1932)
181195,(WIN 1932)
181196,(WIN 1932)
181197,(WIN 1932)
181198,1933-01
181199,1933-01
181200,1933-01
181201,1933-01
181202,(SUM 1921)
181203,(SUM 1921)
181204,(SUM 1921)
181205,(SUM 1921)
181206,(SUM 1921)
181212,(Before 1933)
181213,(Before 1933)
181216,(Before 1933)
181506,1933-03
181563,1933
181564,1933
181616,(FAL 1931)
181617,(FAL 1931)
181618,(FAL 1931)
181663,(SPR 1933)
181664,(SPR 1933)
181665,(SPR 1933)
181666,(SPR 1933)
181667,(SPR 1933)
181668,(SPR 1933)
181669,(SPR 1933)
181670,(SPR 1933)
181671,(SPR 1933)
181672,(SPR 1933)
181673,(SPR 1933)
181674,(SPR 1933)
181675,(SPR 1933)
181676,(SPR 1933)
181679,(1932-1933)
181680,(1932-1933)
181681,(1932-1933)
181682,(1932-1933)
181683,(1932-1933)
181684,1932-09
181685,(Before 1934)
181686,1933-10
181687,1933-10
181688,1933-10
181689,1933-10
181690,1933-10
181691,1933-10
181692,1933-10
181693,1933-09
181704,1933
181705,1933
181706,1933
181707,1933
181708,1933
181709,1933
181717,(WIN 1933)
181719,1887-12
181786,1933
181789,1933
181790,1933
181791,1933
181812,1932-09
181817,(1927-1928)
181818,(1927-1928)
181819,(1927-1928)
181820,(1927-1928)
181821,(1927-1928)
181822,(1927-1928)
181823,(1927-1928)
181824,(1927-1928)
181825,(1927-1928)
181829,(1927-1928)
181830,(1927-1928)
181831,(1927-1928)
181832,(1927-1928)
181833,(1927-1928)
181834,(1927-1928)
181835,(1927-1928)
181836,(1927-1928)
181837,(1927-1928)
181838,(1927-1928)
181839,(1927-1928)
181840,(1927-1928)
181841,(1927-1928)
181842,(1927-1928)
181843,(1927-1928)
181844,(1927-1928)
181845,(1927-1928)
181846,(1927-1928)
181847,(1927-1928)
181848,(1927-1928)
181849,(1927-1928)
181850,(1927-1928)
181851,(1927-1928)
181852,(1927-1928)
181853,(1927-1928)
181854,(1927-1928)
181855,(1927-1928)
181856,(1927-1928)
181857,(1927-1928)
181858,(1927-1928)
181859,(WIN 1912-1913)
181860,(WIN 1912-1913)
181861,(WIN 1912-1913)
181862,(WIN 1912-1913)
181863,(WIN 1912-1913)
181864,(WIN 1912-1913)
181865,(WIN 1912-1913)
181866,(WIN 1912-1913)
181867,(WIN 1912-1913)
181868,(WIN 1912-1913)
181869,(WIN 1912-1913)
181870,(WIN 1912-1913)
181871,(WIN 1912-1913)
181872,(WIN 1912-1913)
181873,(WIN 1912-1913)
181874,(WIN 1912-1913)
181875,(WIN 1912-1913)
181876,(WIN 1912-1913)
181877,(WIN 1912-1913)
181878,(WIN 1912-1913)
181879,(WIN 1912-1913)
181880,(WIN 1912-1913)
181881,(WIN 1912-1913)
181882,(WIN 1912-1913)
181883,(WIN 1912-1913)
181887,1913-03
181888,1934-03
181892,1934-01
181893,1934-01
181894,1934-01
181896,1933-12
181901,(Before 1934)
181903,(Before 1934)
181904,(Before 1934)
181905,(Before 1934)
181907,1934
181908,1934
181909,1934-07
181910,1934-07
181911,1934-07
181912,1934-07
181913,1934-07
181914,1934-07
181916,1934-09
181917,1934-09
181927,1934-06
181928,1934-03
181937,(SPR 1934)
181938,(SPR 1934)
181939,(SPR 1934)
181940,(SPR 1934)
181941,(SPR 1934)
181942,(SPR 1934)
181943,(SPR 1934)
181944,(SPR 1934)
181945,(SPR 1934)
181946,(SPR 1934)
181947,(SPR 1934)
181948,(SPR 1934)
181949,(SPR 1934)
181950,(SPR 1934)
181951,(SPR 1934)
181975,(Before 1934)
181976,(Before 1934)
181977,1934-03
181978,1934-03
181979,1934-03
181982,1934-06
181983,1934-06
181987,(Before 1934)
181988,(Before 1934)
181989,(Before 1934)
181993,(Before 1935)
182004,(WIN 1933-1934)
182005,(WIN 1933-1934)
182006,(WIN 1933-1934)
182007,(WIN 1933-1934)
182008,(WIN 1933-1934)
182009,(WIN 1933-1934)
182010,(WIN 1933-1934)
182011,(WIN 1933-1934)
182012,(WIN 1933-1934)
182013,(WIN 1933-1934)
182044,1935-03
182072,1934-07
182076,(Before 1935)
182077,(Before 1935)
182078,(Before 1935)
182079,(Before 1935)
182087,1935-11
182089,1935-02
182090,1935-02
182091,1935-02
182092,1935-02
182093,1935-02
182095,1934
182099,(SPR 1934)
182100,(SPR 1934)
182101,(FAL 1934)
182130,(1934-1935)
182133,1935
182155,1934-11
182156,1934-11
182157,1934-11
182159,1934-12
182160,1934-12
182170,1935
182171,1935
182173,1935
182183,1935-05
182184,1935-05
182185,1935-05
182932,(Before 1935)
182936,1932-11
183116,(Before 1936)
183422,1930-11-31
183423,1930-11-31
183467,1935
183468,(1934-1935)
183469,1935
183475,(WIN 1934-1935)
183480,1935
183484,1935-11
183486,(Before 1936)
183487,(Before 1936)
183488,(Before 1936)
183489,(Before 1936)
183490,(Before 1936)
183508,1933-11
183524,1936
183528,(Before 1936)
183529,(Before 1936)
183538,(WIN 1933-1934)
183539,1934-11
184085,1935-12
184086,1935-12
184087,1935-12
184088,1935-12
184089,1936-03
184092,1936
184093,1936-03
184094,1936
184183,1936-09
184308,(Before 1936)
184327,(?1933)
184328,1936
184330,1936
184331,1936
184332,1936
184333,1936
184334,1936
184335,1936
184336,1936
184337,1936
184338,1936
184339,1936
184340,1936
184341,1936
184342,(SUM 1936)
184343,1936
184349,1936
184350,1936
184351,1936-05
184352,1936-05
184353,1936-05
184356,(Before 1936)
184357,(Before 1936)
184361,1936
184362,1936
184387,(Before 1936)
184388,1936
184389,1930
184390,1936
184391,1936
184396,(SUM 1935)
184397,(1934-1935)
184415,(WIN 1936-1937)
184416,1936-03
184418,(SUM 1936)
184419,(SUM 1934)
184741,1937-06
184797,1926-10
184798,(WIN 1936-1937)
184800,1937-09
184801,1937-09
184802,1937-09
184803,1937-09
184807,1937-12
184845,(1937-1938)
184861,1937-02
184862,(SUM 1936)
184863,(SUM 1936)
184900,(SUM 1936)
184901,(SUM 1936-1937)
184903,1937-01
184904,1936-07
184998,1920-10
185081,(WIN 1937-1938)
185312,1937-09
185452,1938
185454,(WIN 1937-1938)
185455,(WIN 1937-1938)
185456,(WIN 1937-1938)
185457,(WIN 1937-1938)
185493,(?1921)
185494,1921-10
185495,(?1921)
185498,1938-12
185500,1937-07
185521,(Before 1936)
185522,(Before 1936)
185549,1932-01-00
185550,(Before 1939)
185554,1939
185556,1939
185557,1939
185558,1939
186107,(SUM 1939)
186283,1939
186285,1939
186286,1939
186306,1939
186307,(Before 1940)
186361,1936-03
186362,1936-04
186410,(Before 1940)
186411,(Before 1940)
186412,1912
186414,1910
186427,(WIN 1939-1940)
186428,(WIN 1939-1940)
186429,(WIN 1939-1940)
186430,(WIN 1939-1940)
186431,(WIN 1939-1940)
186432,(WIN 1939-1940)
186433,(WIN 1939-1940)
186435,1918
186436,1918
186437,1918
186438,1918
186439,(SPR 1928)
186440,(1903-1904)
186443,1914
186445,1898
186448,(1914-1916)
186449,(1916-1917)
186452,1926
186453,(WIN 1935-1936)
186454,(WIN 1935-1936)
186455,(WIN 1935-1936)
186456,(WIN 1935-1936)
186457,(WIN 1935-1936)
186458,1936
186459,1936
186460,1926
186461,1926
186462,1926
186463,(1903-1904)
186464,(1903-1904)
186465,(1903-1904)
186466,(Before 1940)
186488,1933
186489,1933
186490,1933
186491,(SUM 1939)
186492,(1939-1940)
186493,(Circa 1937)
186494,1940-09
186510,(WIN 1940-1941)
186518,(SUM 1941)
186519,1941-07
186520,1941-07
186523,(SUM 1941)
186524,(SUM 1940)
186529,(SUM 1941)
186537,(FAL 1941)
186549,(WIN 1940)
186550,1940-09
186551,1940-09
186552,1940-09
186553,1940-09
186556,1940-02
186557,1940-02
186558,1940-02
186559,1940-02
186563,(Before 1919)
186572,1941
186573,1941
186574,1941
186575,(SPR 1941)
186576,1941
186578,(WIN 1942)
186579,(WIN 1942)
186580,1942
186581,1942
186582,(WIN 1942)
186583,(WIN 1942)
186584,(WIN 1942)
186585,(WIN 1942)
186586,(WIN 1942)
186590,1941-11
186592,1897
186593,1923
186594,1942-01
186596,1926
186598,1926
186599,1926
186601,1926
186604,1927-08
186605,1927-07
186606,1927-07
186609,1941-09
186610,1941-09
186651,1942-10
186652,(1940-1941)
186653,(1940-1941)
186654,(1940-1941)
186655,(1940-1941)
186656,(1940-1941)
186657,(1940-1941)
186696,1943-01
186699,(1860-1870)
186700,(1904-1907)
186701,(1904-1907)
186702,(1904-1907)
186703,(1904-1907)
186704,(1904-1907)
186718,1943
186754,1943-07
186879,1943-06
186884,1943-07
186939,1943-12
186944,(WIN 1937)
186945,1938-02
186948,1944-02
186994,(FAL 1932)
186999,1944-02
187004,(WIN 1944)
187005,(WIN 1944)
187006,1944
187007,1944
187008,1944
187009,1944
187010,1944
187011,1944
187012,1944
187013,1944
187014,1944
187015,1944
187016,1944
187017,1944
187018,1944
187023,1944
187024,1944
187025,1944
187026,1936
187043,1944
187545,1944
187546,1944
187547,1944
187548,1944
187549,1944
187550,1944
187568,1944-08
187569,1943-08
187570,1943-08
187586,1944
187587,1944
187588,1944
187589,1944
187590,1944
187613,1944
187614,1944-10
187615,1944-10
187616,1944-10
187617,1944-10
187618,1944-10
187619,1944-10
187620,1944-10
187621,1944-10
187622,1944-10
187623,1944-10
187624,1944-10
187625,1944-10
187626,1944-10
187627,1944-10
187628,1944-10
187629,1944-10
187630,1944-10
187631,1944-10
187632,1944-10
187633,1944-10
187634,1944-10
187635,1944-10
187636,1944-10
187637,1944-10
187638,(SUM 1944)
187643,1944
187645,(FAL 1944)
187646,(Before 1944)
187647,1944
187657,(WIN 1944-1945)
187658,(WIN 1944-1945)
187666,(?1945)
187668,(1944-1945)
187671,(WIN 1945)
187679,1945
187680,1945
187682,1945-05
187683,1945-05
187684,1945-05
187685,1944-09
187700,1945
187751,(WIN 1945)
187752,(WIN 1945)
187753,(WIN 1945)
187754,(WIN 1945)
187755,(WIN 1945)
187756,(WIN 1945)
187757,1945
187758,1945
187759,1945
187760,1945
187763,1945
187921,1945-07
187922,1945-07
188233,1945-10
188246,(?1945)
188248,(WIN 1945)
188313,1945
188314,1945
188329,(?1944)
188338,(SUM 1945)
188339,1940
188340,(?1945)
188341,(SPR 1915)
188342,(SUM 1915)
188343,(FAL 1915)
188544,(SUM 1946)
188545,(SUM 1946)
188546,1946
188550,1946-01
188551,1946-01
188552,1946-01
188553,1946-01
188587,1946-03
188588,1946-03
188660,1945
188661,1945
188662,1945
188663,1945
188664,1945
188665,1945
188666,1945
188667,1945
188668,1945
188669,1945
188670,1945
188671,1945
188672,1945
188673,1945
188674,1945
188675,1945
188676,1945
188677,1945
188678,1946-03
188690,(1935-1936)
188691,(1935-1936)
188692,(1935-1936)
188693,(1935-1936)
188694,(1935-1936)
188695,(1935-1936)
188696,(1935-1936)
188697,(1935-1936)
188698,(1935-1936)
188699,(1935-1936)
188700,(1935-1936)
188701,(1935-1936)
188702,(1935-1936)
188703,(1935-1936)
188704,(1935-1936)
188705,(1935-1936)
188706,(1935-1936)
188707,(1935-1936)
188708,(1914-1916)
188709,(1914-1916)
188713,1927
188722,1947
188734,1948-04
188737,(1944-1945)
188745,(SUM 1948)
188970,(SUM 1948)
188977,1949-02
188978,1949-02
188979,1949-02
188980,1949-02
188981,1949-02
188982,1949-02
188983,1949-01
188984,1949-01
188985,1949-01
188987,1949-01
188988,1949-01
188990,1949-01
188992,1949-02
188993,1949-05
189001,1949-03
189004,1899
189005,1949-01
189008,1949-02
189009,1949-02
189010,1920-10
189017,1949-03
189018,1949-03
189019,1949-03
189020,1949-03
189021,1949-03
189022,1949-03
189023,1949-03
189024,1949-03
189057,1949-07
189214,1949
189221,1949-09
189222,(WIN 1949)
189223,(WIN 1949)
189224,(WIN 1949)
189225,(WIN 1949)
189226,(WIN 1949)
189227,(WIN 1949)
189228,(WIN 1949)
189229,(WIN 1949)
189241,(SPR 1950)
189242,(SPR 1950)
189403,1949
189404,1949
189405,1949
189489,1949-06-31
189492,1949-06-31
189554,(FAL 1948)
189557,1950-04
189562,1949-09
189699,1948
189736,1950
189737,1950
189738,1950
189739,1950-09
189748,1949-06
189749,1948-12
189750,(WIN 1950)
189751,(WIN 1950)
189752,(WIN 1950)
189753,(WIN 1950)
189758,(WIN 1951)
189766,1950
189767,1948
190498,1952-08
190499,1951
190500,1951
190501,1951
190502,1951
190503,1951
190504,1951
190513,(WIN 1953)
190569,1951-08
190570,(WIN 1953)
190571,(WIN 1953)
190572,(WIN 1953)
190573,(WIN 1953)
190575,1952
190576,1952
190577,1952
190584,1952
190585,1952
190588,1951
190589,1952
190590,1951
190591,1952
190592,1952
190616,(WIN 1952)
190617,(WIN 1952)
190619,1952-11
190620,1952-11
190621,1952-11
190622,1952-11
190623,1952-11
190624,1952-11
190625,1952-11
190626,1952-11
190628,1952-11
190649,1953-01
190650,1953-01
190658,1953-01
190659,1953-01
190660,1953-01
190661,1953-01
190662,1953-01
190663,1953-01
190664,1953-01
190665,1954-01
190666,1954-01
190667,1954-01
190668,1954-03
190669,1952-11
190670,1952-11
190671,1952-11
190672,1952-11
190702,1953-01
190703,1953-01
190704,1953-01
190705,1953-01
190706,1954-03
190707,1954-03
190708,1954-03
190709,1954-03
190710,1952-03
190711,1954-03
190712,1953-01
190713,1953-01
190714,1954-01
190715,1954-01
190716,1954-01
190717,1954-01
190718,1954-01
190719,1954-01
190720,1954-01
190721,1954-01
190722,1954-01
190723,1953-01
190724,1953-01
190726,1953-01
190727,1953-01
190850,1939
190851,1954-06
190856,(SPR)
190866,1955
190868,(SUM 1955)
190877,(SPR 1952)
190878,(SPR 1952)
190887,1955
190904,1940-11
190922,1938-12
190931,1939
190933,(WIN 1953)
